,precision,recall,f1-score,support
0,0.9863866199922209,0.9941199529596236,0.9902381882077314,2551.0
1,0.967948717948718,0.9282786885245902,0.9476987447698745,488.0
accuracy,0.9835472194800922,0.9835472194800922,0.9835472194800922,0.9835472194800922
macro avg,0.9771676689704694,0.9611993207421069,0.968968466488803,3039.0
weighted avg,0.9834258775778643,0.9835472194800922,0.9834072410548277,3039.0
