,precision,recall,f1-score,support
0,0.8394208621256992,1.0,0.9127012522361359,2551.0
1,0.0,0.0,0.0,488.0
accuracy,0.8394208621256992,0.8394208621256992,0.8394208621256992,0.8394208621256992
macro avg,0.4197104310628496,0.5,0.4563506261180679,3039.0
weighted avg,0.7046273837718522,0.8394208621256992,0.7661404720152625,3039.0
